287,2,1,MONTHLY,7083.00,8749.99,41.67,10.00
288,2,1,MONTHLY,8750.00,12082.99,208.33,15.00
289,2,1,MONTHLY,12083.00,17916.99,708.33,20.00
290,2,1,MONTHLY,17917.00,27082.99,1875.00,25.00
291,2,1,MONTHLY,27083.00,47916.99,4166.67,30.00
292,2,1,MONTHLY,47917.00,100000000.00,10416.67,32.00
293,3,1,MONTHLY,0.00,6249.99,0.00,0.00
294,3,1,MONTHLY,6250.00,7082.99,0.00,5.00
295,3,1,MONTHLY,7083.00,8749.99,41.67,10.00
296,3,1,MONTHLY,8750.00,12082.99,208.33,15.00
297,3,1,MONTHLY,12083.00,17916.99,708.33,20.00
298,3,1,MONTHLY,17917.00,27082.99,1875.00,25.00
299,3,1,MONTHLY,27083.00,47916.99,4166.67,30.00
300,3,1,MONTHLY,47917.00,100000000.00,10416.67,32.00
301,2,2,MONTHLY,0.00,8332.99,0.00,0.00
302,2,2,MONTHLY,8333.00,9166.99,0.00,5.00
303,2,2,MONTHLY,9167.00,10832.99,41.67,10.00
304,2,2,MONTHLY,10833.00,14166.99,208.33,15.00
305,2,2,MONTHLY,14167.00,19999.99,708.33,20.00
306,2,2,MONTHLY,20000.00,29166.99,1875.00,25.00
307,2,2,MONTHLY,29167.00,49999.99,4166.67,30.00
308,2,2,MONTHLY,50000.00,100000000.00,10416.67,32.00
309,3,2,MONTHLY,0.00,8332.99,0.00,0.00
310,3,2,MONTHLY,8333.00,9166.99,0.00,5.00
311,3,2,MONTHLY,9167.00,10832.99,41.67,10.00
312,3,2,MONTHLY,10833.00,14166.99,208.33,15.00
313,3,2,MONTHLY,14167.00,19999.99,708.33,20.00
314,3,2,MONTHLY,20000.00,29166.99,1875.00,25.00
315,3,2,MONTHLY,29167.00,49999.99,4166.67,30.00
316,3,2,MONTHLY,50000.00,100000000.00,10416.67,32.00
317,2,3,MONTHLY,0.00,10416.99,0.00,0.00
318,2,3,MONTHLY,10417.00,11249.99,0.00,5.00
319,2,3,MONTHLY,11250.00,12916.99,41.67,10.00
320,2,3,MONTHLY,12917.00,16249.99,208.33,15.00
321,2,3,MONTHLY,16250.00,22082.99,708.33,20.00
322,2,3,MONTHLY,22083.00,31249.99,1875.00,25.00
323,2,3,MONTHLY,31250.00,52082.99,4166.67,30.00
324,2,3,MONTHLY,52083.00,100000000.00,10416.67,32.00
325,3,3,MONTHLY,0.00,10416.99,0.00,0.00
326,3,3,MONTHLY,10417.00,11249.99,0.00,5.00
327,3,3,MONTHLY,11250.00,12916.99,41.67,10.00
328,3,3,MONTHLY,12917.00,16249.99,208.33,15.00
